RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
198,Jalen Suggs,Orl,G,21.8,52,23.7,20.4,17.5,119,0.723,239,0.498,199,0.322,0.491,0.526,9.9,3,2.9,1.3,0.5,1.8,12.9,12.9,15.8,7.5,104.3,106.7
199,Al Horford,Bos,C-F,36.8,63,30.5,11.9,7.2,21,0.714,154,0.539,325,0.446,0.627,0.631,9.8,6.2,3,0.5,1,0.6,16,12.8,19,7.4,133.4,108.1
200,Sandro Mamukelashvili,San,F-C,23.9,17,22.7,19.3,13.9,33,0.727,86,0.535,56,0.304,0.504,0.533,9.8,6.6,2.2,0.5,0.4,1.4,16.4,12.1,18.6,9.2,112.7,114.5
201,Caleb Martin,Mia,F,27.5,70,29.5,14.5,12.5,113,0.805,311,0.543,235,0.357,0.54,0.572,9.7,4.9,1.7,1,0.4,1.1,14.6,11.4,16.3,5.9,113.5,108.7
202,Eugene Omoruyi,Det,F,26.1,17,21.9,19.7,11.8,47,0.723,76,0.526,58,0.293,0.489,0.533,9.7,3.5,1,0.8,0.2,1.1,13.2,10.7,14.2,5.9,107.6,109.8
203,Coby White,Chi,G,23.1,73,23.5,17.9,11,70,0.871,248,0.54,342,0.371,0.55,0.572,9.7,2.9,2.8,0.7,0.1,1,12.6,12.5,15.4,7.3,112.9,109.3
204,Julian Champagnie,San,F,21.8,13,19,18.4,8.5,10,0.8,34,0.618,62,0.403,0.609,0.623,9.6,3.5,0.5,0.4,0.4,0.7,13.2,10.1,13.6,5.4,116.6,113.9
205,Shaedon Sharpe,Por,G,19.9,78,22,18.5,10.9,99,0.707,344,0.558,266,0.365,0.553,0.57,9.6,2.9,1.1,0.4,0.3,1,12.4,10.7,13.5,5.7,110.1,114.7
206,Rui Hachimura,Lal,F,25.2,32,22.3,17.1,6.5,58,0.724,181,0.552,65,0.323,0.535,0.562,9.5,4.7,0.7,0.3,0.4,0.5,14.2,10.2,14.9,5.7,114.6,112
207,Josh Hart,Por,G,28.1,51,33.4,12.6,17.9,119,0.731,251,0.594,112,0.304,0.551,0.586,9.5,8.2,3.9,1.1,0.2,1.5,17.7,13.5,21.6,8.1,121.7,111.5
208,Isaiah Joe,Okc,G,23.8,73,19.1,17.7,7.1,100,0.82,114,0.553,394,0.409,0.599,0.626,9.5,2.4,1.2,0.7,0.1,0.5,11.9,10.7,13.1,6.3,125,111.3
209,Gabe Vincent,Mia,G,26.8,67,26.1,17.5,14,77,0.883,216,0.509,349,0.335,0.505,0.533,9.5,2.2,2.5,0.9,0.1,1.4,11.7,12,14.2,5.7,104.3,108.1
210,T.J. Warren,Bro,F,29.6,26,18.9,20.9,7.8,33,0.818,152,0.566,48,0.333,0.55,0.576,9.5,2.8,1.1,0.6,0.3,0.7,12.3,10.6,13.4,6.5,112.5,108.9
211,Kyle Anderson,Min,F-G,29.5,67,28.3,14.5,17.2,136,0.735,380,0.534,101,0.416,0.553,0.584,9.4,5.3,4.9,1.1,0.9,1.5,14.8,14.3,19.6,8.8,120.6,108.9
212,Keita Bates-Diop,San,F,27.2,65,21.6,16.3,10.8,141,0.801,301,0.558,135,0.393,0.568,0.61,9.4,3.7,1.5,0.7,0.3,0.8,13,10.8,14.5,6.9,121.7,119.1
213,Chris Boucher,Tor,F-C,30.2,75,20.1,18,6.9,166,0.759,334,0.584,189,0.328,0.551,0.589,9.4,5.5,0.4,0.6,0.8,0.5,14.9,9.7,15.3,5.5,125.5,107.1
214,Donte DiVincenzo,Gol,G,26.2,71,26.4,15.1,17.1,69,0.812,160,0.525,373,0.397,0.574,0.593,9.4,4.5,3.4,1.3,0.1,1.5,13.9,12.8,17.3,7.9,116.8,110.7
